id,title,description,poster_pre_url,poster_url,backdrop_url,rate
535,Комната с видом,"1907 год. Юная благовоспитанная английская леди Люси путешествует по Италии в сопровождении тети Шарлотты. После того как Люси удостаивается поцелуя недостаточно светского поклонника, от страданий любви её не спасет ни поспешный отъезд в безмятежную Англию, ни помолвка с подходящим джентльменом своего круга.",https://image.openmoviedb.com/kinopoisk-images/4483445/d4753b0e-ac57-4423-b716-e5784f6bb227/x1000,https://image.openmoviedb.com/kinopoisk-images/4483445/d4753b0e-ac57-4423-b716-e5784f6bb227/orig,"",7.136499881744385
536,Индиана Джонс: В поисках утраченного ковчега,"Известный археолог и специалист по оккультным наукам доктор Джонс получает опасное задание от правительства США. Он должен отправиться на поиски уникальной реликвии — священного Ковчега. Но Индиана и не подозревает, что аналогичный приказ уже получили тайные агенты Адольфа Гитлера.",https://image.openmoviedb.com/kinopoisk-images/4303601/2b81e7f3-2f2b-490f-988e-c008e4276560/x1000,https://image.openmoviedb.com/kinopoisk-images/4303601/2b81e7f3-2f2b-490f-988e-c008e4276560/orig,https://image.openmoviedb.com/kinopoisk-ott-images/200035/2a000001616b8967e600e8b487823a2f3881/orig,8.192999839782715
537,Охотник на оленей,"История о трех американцах русского происхождения — их жизни до, во время и после войны во Вьетнаме.",https://image.openmoviedb.com/kinopoisk-images/1773646/013a7dc0-17bf-49eb-886b-97a8c40db73c/x1000,https://image.openmoviedb.com/kinopoisk-images/1773646/013a7dc0-17bf-49eb-886b-97a8c40db73c/orig,https://image.openmoviedb.com/kinopoisk-ott-images/2419418/2a000001747744fe7fe65b1094ebf05595f2/orig,7.975000381469727
538,Гарольд и Мод,"Гарольд — сын миссис Чэйзен, богатой женщины, которая не обращает на него внимания. Страдая от депрессии и отсутствия друзей, он инсценирует тщательно продуманные, но смехотворные самоубийства, которые на рассеянную маму никакого впечатления не производят. Очарованный смертью и всей ее внешней атрибутикой, Гарольд на старом катафалке сам разъезжает по кладбищам вокруг городка. На двух похоронах подряд он встречает Мод, старушку 79 лет, выжившую после концлагеря и очарованную жизнью в той же степени, что Гарольд очарован смертью. Свободная духом, она является прямой противоположностью торжественному и важному Гарольду. Тем не менее они становятся лучшими друзьями, и она вселяет в него желание жить, расправить крылья, наслаждаться кратким пребыванием на Земле. Проходит время, они вместе переживают несколько забавных и сумасбродных приключений, и дружба перерастает в любовь — к большому беспокойству мамы Гарольда.",https://image.openmoviedb.com/kinopoisk-images/1600647/e9dfd02d-46c9-438c-af97-42c1f1565b54/x1000,https://image.openmoviedb.com/kinopoisk-images/1600647/e9dfd02d-46c9-438c-af97-42c1f1565b54/orig,"",7.767000198364258
539,Песнь Джимми Блэксмита,"Абориген, столкнувшийся с жестокостью расовой дискриминации, не справляется с ней и платит ей той же монетой.",https://image.openmoviedb.com/kinopoisk-images/1773646/99dd2858-7a01-4c4a-9f9c-79c95133dda4/x1000,https://image.openmoviedb.com/kinopoisk-images/1773646/99dd2858-7a01-4c4a-9f9c-79c95133dda4/orig,"",6.636000156402588
540,Если...,"В школе, где царят старые порядки — школьников бьют хлыстами за провинности и царит дедовщина — у группы старшеклассников созревает план протеста.",https://image.openmoviedb.com/kinopoisk-images/1773646/3cd5f965-0e07-47ed-8e8b-e58f546036bc/x1000,https://image.openmoviedb.com/kinopoisk-images/1773646/3cd5f965-0e07-47ed-8e8b-e58f546036bc/orig,"",7.382499694824219
541,Лусия,"История борьбы кубинского народа за свою независимость показана через судьбы трех женщин. Героиня первой новеллы вынуждена предать родных ради любви к испанскому солдату. Героиня второй новеллы вынуждена уйти из семьи ради любви. И, наконец, героиня третьей истории пытается отстоять свое право работать в колхозе.",https://image.openmoviedb.com/kinopoisk-images/1600647/d077edfb-f8cc-432a-8848-2103a6f03869/x1000,https://image.openmoviedb.com/kinopoisk-images/1600647/d077edfb-f8cc-432a-8848-2103a6f03869/orig,"",6.853499889373779
542,Момент безрассудства,"Домохозяйка Люсия Харпер находит убитого мужчину, с которым встречалась ее дочь. Она не знает, что предпринять и всячески старается скрыть труп, чтобы избежать скандала. Возмездие является в лице ирландца-подонка, который собирается ее шантажировать, но неожиданно влюбляется и делает попытки сближения...",https://image.openmoviedb.com/kinopoisk-images/1600647/e60fe4a6-e5ed-42cb-98e0-986f1a3c3881/x1000,https://image.openmoviedb.com/kinopoisk-images/1600647/e60fe4a6-e5ed-42cb-98e0-986f1a3c3881/orig,"",6.651000022888184
543,Месть актера,"Эдо. Знаменитый исполнитель женских ролей замышляет отомстить нескольким торговцам, виновным в смерти его родителей, но не торопится. Он хочет, чтобы его жертвы познали отчаяние перед смертью.",https://image.openmoviedb.com/kinopoisk-images/1704946/7602543b-ede1-4239-8bd6-d7099750a857/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/7602543b-ede1-4239-8bd6-d7099750a857/orig,"",7.045000076293945
544,"Человек, который упал на Землю",Инопланетянин прибывает на Землю в поисках воды для своей погибающей от засухи планеты.,https://image.openmoviedb.com/kinopoisk-images/1704946/7919e537-e3a1-4a6c-9477-60620c554924/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/7919e537-e3a1-4a6c-9477-60620c554924/orig,"",6.849499702453613
